"MLinkID","Date.Time.AWST","AverageLanes","Volume","TravelTimeMinutes","VolumeQuality","TTQuality"
5554,"2023-03-01T00:00",1,16,0.5,99,1
5554,"2023-03-01T00:15",1,14,0.47,99,1
5554,"2023-03-01T00:30",1,13,0.46,99,1
5554,"2023-03-01T00:45",1,13,0.65,99,1
5554,"2023-03-01T01:00",1,12,0.45,99,1
5554,"2023-03-01T01:15",1,11,0.55,99,1
5554,"2023-03-01T01:30",1,11,0.57,99,1
5554,"2023-03-01T01:45",1,10,0.52,99,99
5554,"2023-03-01T02:00",1,11,0.46,99,1
5554,"2023-03-01T02:15",1,10,0.42,99,1
5554,"2023-03-01T02:30",1,10,0.52,99,1
5554,"2023-03-01T02:45",1,11,0.52,99,99
5554,"2023-03-01T03:00",1,11,0.6,99,1
5554,"2023-03-01T03:15",1,11,0.52,99,1
5554,"2023-03-01T03:30",1,13,0.52,99,99
5554,"2023-03-01T03:45",1,14,0.52,99,99
5554,"2023-03-01T04:00",1,16,0.52,99,99
5554,"2023-03-01T04:15",1,19,0.59,99,1
5554,"2023-03-01T04:30",1,26,0.48,99,1
5554,"2023-03-01T04:45",1,30,0.48,99,1
5554,"2023-03-01T05:00",1,35,0.48,99,1
5554,"2023-03-01T05:15",1,52,0.53,99,1
5554,"2023-03-01T05:30",1,72,0.48,99,1
5554,"2023-03-01T05:45",1,77,0.48,99,1
5554,"2023-03-01T06:00",1,86,0.52,99,1
5554,"2023-03-01T06:15",1,109,0.64,99,1
5554,"2023-03-01T06:30",1,122,1.2,99,1
5554,"2023-03-01T06:45",1,125,2.69,99,1
5554,"2023-03-01T07:00",1,124,4.06,99,1
5554,"2023-03-01T07:15",1,132,2.67,99,1
5554,"2023-03-01T07:30",1,130,2.39,99,1
5554,"2023-03-01T07:45",1,125,3.95,99,1
5554,"2023-03-01T08:00",1,120,4.13,99,1
5554,"2023-03-01T08:15",1,118,3.41,99,1
5554,"2023-03-01T08:30",1,113,4.22,99,1
5554,"2023-03-01T08:45",1,112,4.1,99,1
5554,"2023-03-01T09:00",1,111,4.42,99,1
5554,"2023-03-01T09:15",1,115,3.69,99,1
5554,"2023-03-01T09:30",1,112,1.33,99,1
5554,"2023-03-01T09:45",1,101,0.51,99,1
5554,"2023-03-01T10:00",1,109,1.25,99,1
5554,"2023-03-01T10:15",1,106,0.58,99,1
5554,"2023-03-01T10:30",1,104,0.5,99,1
5554,"2023-03-01T10:45",1,105,0.51,99,1
5554,"2023-03-01T11:00",1,102,0.49,99,1
5554,"2023-03-01T11:15",1,107,0.49,99,1
5554,"2023-03-01T11:30",1,109,0.52,99,1
5554,"2023-03-01T11:45",1,108,0.5,99,1
5554,"2023-03-01T12:00",1,110,0.51,99,1
5554,"2023-03-01T12:15",1,112,0.51,99,1
5554,"2023-03-01T12:30",1,114,0.5,99,1
5554,"2023-03-01T12:45",1,111,0.5,99,1
5554,"2023-03-01T13:00",1,107,0.5,99,1
5554,"2023-03-01T13:15",1,114,0.5,99,1
5554,"2023-03-01T13:30",1,117,0.5,99,1
5554,"2023-03-01T13:45",1,116,0.5,99,1
5554,"2023-03-01T14:00",1,122,0.5,99,1
5554,"2023-03-01T14:15",1,134,0.73,99,1
5554,"2023-03-01T14:30",1,136,0.73,99,1
5554,"2023-03-01T14:45",1,137,0.66,99,1
5554,"2023-03-01T15:00",1,134,0.65,99,1
5554,"2023-03-01T15:15",1,137,0.65,99,1
5554,"2023-03-01T15:30",1,135,0.66,99,1
5554,"2023-03-01T15:45",1,134,0.65,99,1
5554,"2023-03-01T16:00",1,133,0.64,99,1
5554,"2023-03-01T16:15",1,136,0.68,99,1
5554,"2023-03-01T16:30",1,135,0.88,99,1
5554,"2023-03-01T16:45",1,128,0.66,99,1
5554,"2023-03-01T17:00",1,128,0.56,99,1
5554,"2023-03-01T17:15",1,129,0.51,99,1
5554,"2023-03-01T17:30",1,127,0.56,99,1
5554,"2023-03-01T17:45",1,126,0.51,99,1
5554,"2023-03-01T18:00",1,120,0.49,99,1
5554,"2023-03-01T18:15",1,114,0.48,99,1
5554,"2023-03-01T18:30",1,99,0.5,99,1
5554,"2023-03-01T18:45",1,87,0.52,99,1
5554,"2023-03-01T19:00",1,77,0.47,99,1
5554,"2023-03-01T19:15",1,74,0.5,99,1
5554,"2023-03-01T19:30",1,65,0.53,99,1
5554,"2023-03-01T19:45",1,64,0.55,99,1
5554,"2023-03-01T20:00",1,60,0.5,99,1
5554,"2023-03-01T20:15",1,61,0.5,99,1
5554,"2023-03-01T20:30",1,56,0.54,99,1
5554,"2023-03-01T20:45",1,54,0.51,99,1
5554,"2023-03-01T21:00",1,54,0.52,99,1
5554,"2023-03-01T21:15",1,56,0.52,99,1
5554,"2023-03-01T21:30",1,52,0.51,99,1
5554,"2023-03-01T21:45",1,44,0.5,99,1
5554,"2023-03-01T22:00",1,43,0.49,99,1
5554,"2023-03-01T22:15",1,39,0.49,99,1
5554,"2023-03-01T22:30",1,34,0.51,99,1
5554,"2023-03-01T22:45",1,29,0.52,99,99
5554,"2023-03-01T23:00",1,24,0.48,99,1
5554,"2023-03-01T23:15",1,21,0.53,99,1
5554,"2023-03-01T23:30",1,17,0.52,99,99
5554,"2023-03-01T23:45",1,16,0.55,99,1
5554,"2023-03-02T00:00",1,16,0.44,99,1
5554,"2023-03-02T00:15",1,15,0.49,99,1
5554,"2023-03-02T00:30",1,12,0.52,99,99
5554,"2023-03-02T00:45",1,13,0.54,99,1
5554,"2023-03-02T01:00",1,12,0.52,99,1
5554,"2023-03-02T01:15",1,11,0.52,99,99
5554,"2023-03-02T01:30",1,11,0.39,99,1
5554,"2023-03-02T01:45",1,10,0.66,99,1
5554,"2023-03-02T02:00",1,11,0.52,99,99
5554,"2023-03-02T02:15",1,11,0.44,99,1
5554,"2023-03-02T02:30",1,11,0.51,99,1
5554,"2023-03-02T02:45",1,11,0.51,99,1
5554,"2023-03-02T03:00",1,11,0.49,99,1
5554,"2023-03-02T03:15",1,11,0.49,99,1
5554,"2023-03-02T03:30",1,13,0.52,99,99
5554,"2023-03-02T03:45",1,15,0.52,99,99
5554,"2023-03-02T04:00",1,16,0.54,99,1
5554,"2023-03-02T04:15",1,20,0.47,99,1
5554,"2023-03-02T04:30",1,26,0.48,99,1
5554,"2023-03-02T04:45",1,27,0.44,99,1
5554,"2023-03-02T05:00",1,34,0.5,99,1
5554,"2023-03-02T05:15",1,53,0.55,99,1
5554,"2023-03-02T05:30",1,71,0.51,99,1
5554,"2023-03-02T05:45",1,76,0.49,99,1
5554,"2023-03-02T06:00",1,84,0.48,99,1
5554,"2023-03-02T06:15",1,107,0.55,99,1
5554,"2023-03-02T06:30",1,125,1.03,99,1
5554,"2023-03-02T06:45",1,128,1.64,99,1
5554,"2023-03-02T07:00",1,124,2.27,99,1
5554,"2023-03-02T07:15",1,130,2.27,99,1
5554,"2023-03-02T07:30",1,128,3.67,99,1
5554,"2023-03-02T07:45",1,124,4.32,99,1
5554,"2023-03-02T08:00",1,119,4.15,99,1
5554,"2023-03-02T08:15",1,116,4.35,99,1
5554,"2023-03-02T08:30",1,112,3.78,99,1
5554,"2023-03-02T08:45",1,113,3.43,99,1
5554,"2023-03-02T09:00",1,114,2.3,99,1
5554,"2023-03-02T09:15",1,117,1.69,99,1
5554,"2023-03-02T09:30",1,117,1.57,99,1
5554,"2023-03-02T09:45",1,111,1.24,99,1
5554,"2023-03-02T10:00",1,101,0.76,99,1
5554,"2023-03-02T10:15",1,99,0.96,99,1
5554,"2023-03-02T10:30",1,98,1.39,99,1
5554,"2023-03-02T10:45",1,99,1.12,99,1
5554,"2023-03-02T11:00",1,98,1.5,99,1
5554,"2023-03-02T11:15",1,101,1.26,99,1
5554,"2023-03-02T11:30",1,105,1.47,99,1
5554,"2023-03-02T11:45",1,111,1.44,99,1
5554,"2023-03-02T12:00",1,112,0.53,99,1
5554,"2023-03-02T12:15",1,114,0.51,99,1
5554,"2023-03-02T12:30",1,118,0.52,99,1
5554,"2023-03-02T12:45",1,114,0.51,99,1
5554,"2023-03-02T13:00",1,111,0.49,99,1
5554,"2023-03-02T13:15",1,116,0.5,99,1
5554,"2023-03-02T13:30",1,119,0.51,99,1
5554,"2023-03-02T13:45",1,120,0.51,99,1
5554,"2023-03-02T14:00",1,121,0.5,99,1
5554,"2023-03-02T14:15",1,132,0.58,99,1
5554,"2023-03-02T14:30",1,135,0.71,99,1
5554,"2023-03-02T14:45",1,136,0.65,99,1
5554,"2023-03-02T15:00",1,134,0.67,99,1
5554,"2023-03-02T15:15",1,136,0.68,99,1
5554,"2023-03-02T15:30",1,133,0.63,99,1
5554,"2023-03-02T15:45",1,129,2.34,99,1
5554,"2023-03-02T16:00",1,127,0.92,99,1
5554,"2023-03-02T16:15",1,125,0.62,99,1
5554,"2023-03-02T16:30",1,124,0.54,99,1
5554,"2023-03-02T16:45",1,121,1.35,99,1
5554,"2023-03-02T17:00",1,120,1,99,1
5554,"2023-03-02T17:15",1,119,0.99,99,1
5554,"2023-03-02T17:30",1,127,0.73,99,1
5554,"2023-03-02T17:45",1,124,0.51,99,1
5554,"2023-03-02T18:00",1,119,0.49,99,1
5554,"2023-03-02T18:15",1,117,0.49,99,1
5554,"2023-03-02T18:30",1,103,0.48,99,1
5554,"2023-03-02T18:45",1,90,0.52,99,1
5554,"2023-03-02T19:00",1,78,0.49,99,1
5554,"2023-03-02T19:15",1,76,0.51,99,1
5554,"2023-03-02T19:30",1,70,0.5,99,1
5554,"2023-03-02T19:45",1,66,0.51,99,1
5554,"2023-03-02T20:00",1,63,0.51,99,1
5554,"2023-03-02T20:15",1,65,0.49,99,1
5554,"2023-03-02T20:30",1,61,0.5,99,1
5554,"2023-03-02T20:45",1,59,0.51,99,1
5554,"2023-03-02T21:00",1,57,0.5,99,1
5554,"2023-03-02T21:15",1,58,0.5,99,1
5554,"2023-03-02T21:30",1,57,0.5,99,1
5554,"2023-03-02T21:45",1,52,0.51,99,1
5554,"2023-03-02T22:00",1,47,0.54,99,1
5554,"2023-03-02T22:15",1,42,0.51,99,1
5554,"2023-03-02T22:30",1,37,0.51,99,1
5554,"2023-03-02T22:45",1,31,0.49,99,1
5554,"2023-03-02T23:00",1,26,0.53,99,1
5554,"2023-03-02T23:15",1,24,0.48,99,1
5554,"2023-03-02T23:30",1,20,0.52,99,1
5554,"2023-03-02T23:45",1,18,0.5,99,1
5554,"2023-03-03T00:00",1,17,0.45,99,1
5554,"2023-03-03T00:15",1,15,0.56,99,1
5554,"2023-03-03T00:30",1,14,0.49,99,1
5554,"2023-03-03T00:45",1,12,0.48,99,1
5554,"2023-03-03T01:00",1,13,0.51,99,1
5554,"2023-03-03T01:15",1,12,0.52,99,1
5554,"2023-03-03T01:30",1,12,0.51,99,1
5554,"2023-03-03T01:45",1,11,0.57,99,1
5554,"2023-03-03T02:00",1,11,0.57,99,1
5554,"2023-03-03T02:15",1,10,0.52,99,99
5554,"2023-03-03T02:30",1,11,0.4,99,1
5554,"2023-03-03T02:45",1,11,0.52,99,99
5554,"2023-03-03T03:00",1,11,0.52,99,99
5554,"2023-03-03T03:15",1,12,0.44,99,1
5554,"2023-03-03T03:30",1,13,0.54,99,1
5554,"2023-03-03T03:45",1,13,0.64,99,1
5554,"2023-03-03T04:00",1,15,0.52,99,99
5554,"2023-03-03T04:15",1,18,0.48,99,1
5554,"2023-03-03T04:30",1,24,0.52,99,99
5554,"2023-03-03T04:45",1,28,0.52,99,1
5554,"2023-03-03T05:00",1,34,0.51,99,1
5554,"2023-03-03T05:15",1,47,0.52,99,1
5554,"2023-03-03T05:30",1,68,0.53,99,1
5554,"2023-03-03T05:45",1,74,0.47,99,1
5554,"2023-03-03T06:00",1,81,0.51,99,1
5554,"2023-03-03T06:15",1,98,0.5,99,1
5554,"2023-03-03T06:30",1,117,0.66,99,1
5554,"2023-03-03T06:45",1,121,0.84,99,1
5554,"2023-03-03T07:00",1,120,1.03,99,1
5554,"2023-03-03T07:15",1,130,2.5,99,1
5554,"2023-03-03T07:30",1,130,3.58,99,1
5554,"2023-03-03T07:45",1,127,2.54,99,1
5554,"2023-03-03T08:00",1,125,2.59,99,1
5554,"2023-03-03T08:15",1,120,3.1,99,1
5554,"2023-03-03T08:30",1,118,1.13,99,1
5554,"2023-03-03T08:45",1,115,0.71,99,1
5554,"2023-03-03T09:00",1,110,0.62,99,1
5554,"2023-03-03T09:15",1,115,0.66,99,1
5554,"2023-03-03T09:30",1,117,0.61,99,1
5554,"2023-03-03T09:45",1,118,0.66,99,1
5554,"2023-03-03T10:00",1,114,0.56,99,1
5554,"2023-03-03T10:15",1,118,0.51,99,1
5554,"2023-03-03T10:30",1,117,0.52,99,1
5554,"2023-03-03T10:45",1,116,0.51,99,1
5554,"2023-03-03T11:00",1,112,0.51,99,1
5554,"2023-03-03T11:15",1,117,0.52,99,1
5554,"2023-03-03T11:30",1,121,0.51,99,1
5554,"2023-03-03T11:45",1,121,0.51,99,1
5554,"2023-03-03T12:00",1,118,0.51,99,1
5554,"2023-03-03T12:15",1,122,0.51,99,1
